logz logzerr logvol nlive logl logwt insert_order
-1.190199386857846093e+02 1.550483326546068685e+00 -1.975000000000001199e-01 4.000000000000000000e+02 -1.131736651617397058e+02 -1.193638794484310210e+02 7.600000000000000089e-01
-1.184840472950393320e+02 8.753708602286027762e-01 -2.000000000000001221e-01 4.000000000000000000e+02 -1.118741992791389066e+02 -1.180669135658302196e+02 9.050000000000000266e-01
-1.175607390644898942e+02 8.215882414827279101e-01 -2.025000000000001243e-01 4.000000000000000000e+02 -1.084983725505870069e+02 -1.146935868372783176e+02 1.550000000000000044e+00
-1.146382840006104971e+02 1.741599493783100749e+00 -2.050000000000001266e-01 4.000000000000000000e+02 -1.080886898417537196e+02 -1.142864041284450281e+02 1.100000000000000006e-01
-1.137537986506967940e+02 1.121196130003092373e+00 -2.075000000000001288e-01 4.000000000000000000e+02 -1.066680151343562244e+02 -1.128682294210475447e+02 1.250000000000000000e+00
-1.125228828842055009e+02 1.674905942688754035e+00 -2.100000000000001310e-01 4.000000000000000000e+02 -1.064832345538068665e+02 -1.126859488404981846e+02 1.270000000000000018e+00
-1.119079485445924291e+02 1.362824842142255299e+00 -2.125000000000001332e-01 4.000000000000000000e+02 -1.064410978940432244e+02 -1.126463121807345402e+02 1.510000000000000009e+00
-1.115173295726020797e+02 9.927467646270478063e-01 -2.150000000000001354e-01 4.000000000000000000e+02 -1.062349266637746581e+02 -1.124426409504659716e+02 3.649999999999999911e-01
-1.111834263708483803e+02 6.849565142353228886e-01 -2.175000000000001377e-01 4.000000000000000000e+02 -1.051610485900496741e+02 -1.113712628767409853e+02 1.620000000000000107e+00
-1.105797935925448314e+02 6.658121425853394948e-01 -2.200000000000001399e-01 4.000000000000000000e+02 -1.048673153223208061e+02 -1.110800296090121151e+02 1.810000000000000053e+00
-1.101058057076344596e+02 7.210008441861789352e-01 -2.225000000000001421e-01 4.000000000000000000e+02 -1.040743217827387213e+02 -1.102895360694300280e+02 9.849999999999999867e-01
-1.095003100239433991e+02 7.770535628778422188e-01 -2.250000000000001443e-01 4.000000000000000000e+02 -1.031875402752047535e+02 -1.094052545618960721e+02 2.600000000000000089e-01
-1.087585060947092330e+02 7.733818952076395581e-01 -2.275000000000001465e-01 4.000000000000000000e+02 -1.025539276803628184e+02 -1.087741419670541347e+02 1.304999999999999938e+00
-1.080731462905700369e+02 8.386752536599078045e-01 -2.300000000000001488e-01 4.000000000000000000e+02 -1.016766456472861222e+02 -1.078993599339774363e+02 1.125000000000000000e+00
-1.072893354606955114e+02 9.755875035889344238e-01 -2.325000000000001510e-01 4.000000000000000000e+02 -1.012537765872390594e+02 -1.074789908739303712e+02 1.159999999999999920e+00
-1.066865265621132579e+02 1.098295337118088133e+00 -2.350000000000001532e-01 4.000000000000000000e+02 -1.009752456722338252e+02 -1.072029599589251347e+02 1.415000000000000036e+00
-1.062186221642765958e+02 1.112386207302373586e+00 -2.375000000000001554e-01 4.000000000000000000e+02 -1.007899148661141737e+02 -1.070201291528054810e+02 1.770000000000000018e+00
-1.058479884603797956e+02 5.139050554444415386e-01 -2.400000000000001577e-01 4.000000000000000000e+02 -1.007526792946724186e+02 -1.069853935813637378e+02 4.600000000000000200e-01
-1.055698644274405211e+02 4.474566030480879308e-01 -2.425000000000001599e-01 4.000000000000000000e+02 -1.005829976516902491e+02 -1.068182119383815660e+02 1.135000000000000009e+00
-1.053175671001297502e+02 5.787819102352246281e-01 -2.450000000000001621e-01 4.000000000000000000e+02 -1.005029717308218409e+02 -1.067406860175131555e+02 1.669999999999999929e+00
-1.051016807746667467e+02 6.434871931919048382e-01 -2.475000000000001643e-01 4.000000000000000000e+02 -9.979433888912700468e+01 -1.060345531758183171e+02 6.099999999999999867e-01
-1.047699181681404781e+02 7.384559494873796925e-01 -2.500000000000001665e-01 4.000000000000000000e+02 -9.976667667892218105e+01 -1.060093909656134912e+02 4.349999999999999978e-01
-1.045156350667586054e+02 8.020963459181851274e-01 -2.525000000000001688e-01 4.000000000000000000e+02 -9.934106812698215094e+01 -1.055862824136734588e+02 9.649999999999999689e-01
-1.042208881017098605e+02 8.897979338334514043e-01 -2.550000000000001710e-01 4.000000000000000000e+02 -9.913715153612594122e+01 -1.053848658228172610e+02 2.600000000000000089e-01
-1.039491512078573692e+02 6.823501331151190508e-01 -2.575000000000001732e-01 4.000000000000000000e+02 -9.836646205236922924e+01 -1.046166763390605468e+02 1.429999999999999938e+00
-1.035350722670418833e+02 5.189163072076536931e-01 -2.600000000000001754e-01 4.000000000000000000e+02 -9.826054345628904230e+01 -1.045132577429803575e+02 1.409999999999999920e+00
-1.032158968123556377e+02 5.493351784843502061e-01 -2.625000000000001776e-01 4.000000000000000000e+02 -9.815616393248032523e+01 -1.044113782191716382e+02 1.209999999999999964e+00
-1.029515665851169501e+02 7.081229851330373970e-01 -2.650000000000001799e-01 4.000000000000000000e+02 -9.728590520160739175e+01 -1.035436194882987024e+02 5.250000000000000222e-01
-1.025112554008401844e+02 6.826951586741838440e-01 -2.675000000000001821e-01 4.000000000000000000e+02 -9.720344149260714062e+01 -1.034636557792984490e+02 1.685000000000000053e+00
-1.021849678439393614e+02 5.565525734569523042e-01 -2.700000000000001843e-01 4.000000000000000000e+02 -9.629205407245493120e+01 -1.025547683591462373e+02 1.290000000000000036e+00
-1.016597233916796625e+02 7.224142147911046807e-01 -2.725000000000001865e-01 4.000000000000000000e+02 -9.614314757720909199e+01 -1.024083618639004101e+02 7.499999999999999722e-02
